EjeX,EjeY,Frecuencia
3.9335664335664333,0.006169781074911227,4hz 
3.952569169960474,0.006323022468113756,4hz 
3.9215686274509807,0.012299862481359902,4hz 
3.9361702127659575,0.013371762903274171,4hz 
3.958120531154239,0.014811942495429808,4hz 
3.9848993288590604,0.013600079787048849,4hz 
4.033884630899556,0.004270087706288892,4hz 
3.94563787812363,0.015287952379883497,4hz 
4.0084388185654,0.014054088456812316,4hz 
4.015689204333209,0.009543836331419512,4hz 
4.946727549467275,0.007587242572121397,5hz 
4.972875226039783,0.02050911975569954,5hz 
5.017452006980802,0.019114172678030086,5hz 
4.933455713630106,0.007401823732690199,5hz 
4.972875226039783,0.011878601914538156,5hz 
4.951584507042253,0.011319838435249068,5hz 
4.940257352941177,0.008000227706614616,5hz 
4.963726613211149,0.010238528491374976,5hz 
4.957231726283048,0.006962684535966136,5hz 
4.9523110785033015,0.006601484205283846,5hz 
5.995828988529717,0.0053041294616939004,6hz 
5.983246908655763,0.017237908549075226,6hz 
5.9880239520958085,0.010979041768799628,6hz 
5.966039467645709,0.006269370750877115,6hz 
5.997334517992004,0.010818966121885182,6hz 
6.042884990253412,0.013366192763894703,6hz 
6.004366812227074,0.01592366147657941,6hz 
5.924672027084215,0.009362012739874907,6hz 
5.9469350411710895,0.01049271333240913,6hz 
6.003584229390681,0.00771177131931829,6hz 
6.983805668016194,0.007347923011093989,7hz 
6.968267581475129,0.007989947861351104,7hz 
6.973870056497176,0.015280442158622868,7hz 
6.968267581475129,0.004606984725503311,7hz 
6.997201119552179,0.006161806761336509,7hz 
7.020974049057945,0.00876113268062227,7hz 
7.035073409461664,0.00788742753234761,7hz 
6.9302894415002045,0.005000216698427143,7hz 
6.929637526652452,0.003875700853872591,7hz 
6.993006993006993,0.004579797255644749,7hz 
